::1 - - [22/May/2024:10:58:02 +0000] "GET /api/transactions?month=March&search=laptop&page=1&perPage=10%0A HTTP/1.1" 200 29 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:10:58:45 +0000] "GET /api/transactions?month=March&search=DANVOUY%20Womens%20T%20Shirt%20Casual%20Cotton%20Short&page=1&perPage=10 HTTP/1.1" 200 29 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:10:59:13 +0000] "GET /api/transactions?month=March&search=women%27s%20clothing&page=1&perPage=10 HTTP/1.1" 200 29 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:01:11 +0000] "GET /api/transactions?month=March&search=329.85&page=1&perPage=10 HTTP/1.1" 200 29 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:06:31 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:07:58 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:08:43 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:09:10 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:11:23 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:11:24 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:11:25 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:11:25 +0000] "GET /init HTTP/1.1" 404 143 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:12:05 +0000] "GET /init/init HTTP/1.1" 500 29 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:12:43 +0000] "GET /init/init HTTP/1.1" 200 34 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:15:35 +0000] "GET /init/init HTTP/1.1" 200 34 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:15:47 +0000] "GET /api/transactions?month=March&search=329.85&page=1&perPage=10 HTTP/1.1" 200 29 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:16:03 +0000] "GET /api/bar-chart?month=March HTTP/1.1" 200 500 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:17:10 +0000] "GET /api/combined?month=March HTTP/1.1" 200 47 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:17:44 +0000] "GET /api/pie-chart?month=March HTTP/1.1" 200 2 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:18:49 +0000] "GET /api/statistics?month=March HTTP/1.1" 200 62 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:21:38 +0000] "GET /api/transactions?month=March&search=3&page=1&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:21:39 +0000] "GET /api/transactions?month=March&search=32&page=1&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:21:39 +0000] "GET /api/transactions?month=March&search=329&page=1&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:21:39 +0000] "GET /api/transactions?month=March&search=329.&page=1&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:21:40 +0000] "GET /api/transactions?month=March&search=329.8&page=1&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:21:40 +0000] "GET /api/transactions?month=March&search=329.85&page=1&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:21:43 +0000] "GET /api/transactions?month=March&search=329.85&page=2&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:21:44 +0000] "GET /api/transactions?month=March&search=329.85&page=1&perPage=10 HTTP/1.1" 200 29 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:29:45 +0000] "GET /api/transactions?month=March&search=329.85&page=1&perPage=10 HTTP/1.1" 500 41 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:30:52 +0000] "GET /api/transactions?month=March&search=329.85&page=1&perPage=10 HTTP/1.1" 500 107 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:31:44 +0000] "GET /api/transactions?month=March&search=329.85&page=1&perPage=10 HTTP/1.1" 200 19 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:32:56 +0000] "GET /api/transactions?month=November&search=329.85&page=1&perPage=10 HTTP/1.1" 200 19 "-" "PostmanRuntime/7.37.3"
::1 - - [22/May/2024:11:33:08 +0000] "GET /api/transactions?month=November&search=329.85&page=1&perPage=10 HTTP/1.1" 200 19 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:33:08 +0000] "GET /api/statistics?month=November HTTP/1.1" 200 62 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:33:08 +0000] "GET /api/bar-chart?month=November HTTP/1.1" 200 500 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [22/May/2024:11:33:08 +0000] "GET /api/pie-chart?month=November HTTP/1.1" 200 2 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
